cite_key,primary_bucket,all_buckets,mandatory,year,title,venue,doi,cited_by_count,tier,focus,primary_topic,sources
Mylonopoulos202332697,B01_cornerstone_reviews,B01_cornerstone_reviews;B12_bayes_accel,1,2023,A Comprehensive Review of Modeling and Optimization Methods for Ship Energy Systems,IEEE Access,10.1109/access.2023.3263719,38,A,,Maritime Transport Emissions and Efficiency,surrogate_esm_tier_a
Ruan2021221,B01_cornerstone_reviews,B01_cornerstone_reviews;B06_neural_surrogates,1,2021,Review of learning-Assisted power system optimization,CSEE Journal of Power and Energy Systems,10.17775/cseejpes.2020.03070,54,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Khaloie2025,B01_cornerstone_reviews,B01_cornerstone_reviews;B18_opf,1,2025,Review of machine learning techniques for optimal power flow,Applied Energy,10.1016/j.apenergy.2025.125637,26,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Lim2025,B01_cornerstone_reviews,B01_cornerstone_reviews;B06_neural_surrogates;B09_decision_focused_l2o;B17_ed_uc;B18_opf,1,2025,Power System Decision Making in the Age of Deep Learning: A Comprehensive Review,Energies,10.3390/en18184867,3,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Starke2025214,B01_cornerstone_reviews,B01_cornerstone_reviews,1,2025,A review on the applicability of machine learning techniques to the metamodeling of energy systems,"Numerical Heat Transfer, Part B: Fundamentals",10.1080/10407790.2023.2280208,6,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Wang2024,B21_mes_sector_coupling,B21_mes_sector_coupling;B23_moo_design,1,2024,Numerical assessment and optimization of photovoltaic-based hydrogen-oxygen Co-production energy system: A machine learning and multi-objective strategy,Renewable Energy,10.1016/j.renene.2024.120483,30,A,,Hybrid Renewable Energy Systems,moo_mes_focus;surrogate_esm_tier_a
Perera2019191,B06_neural_surrogates,B06_neural_surrogates,1,2019,Machine learning methods to assist energy system optimization,Applied Energy,10.1016/j.apenergy.2019.03.202,104,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Wu2022231,B06_neural_surrogates,B06_neural_surrogates;B09_decision_focused_l2o;B17_ed_uc,1,2022,Deep Learning to Optimize: Security-Constrained Unit Commitment with Uncertain Wind Power Generation and BESSs,IEEE Transactions on Sustainable Energy,10.1109/tste.2021.3107848,86,A,,Electric Power System Optimization,surrogate_esm_tier_a
Chen20244723,B06_neural_surrogates,B06_neural_surrogates;B07_constraint_aware;B09_decision_focused_l2o;B17_ed_uc,1,2024,End-to-End Feasible Optimization Proxies for Large-Scale Economic Dispatch,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3317352,44,A,,Electric Power System Optimization,surrogate_esm_tier_a
Chen2022,B06_neural_surrogates,B06_neural_surrogates;B09_decision_focused_l2o;B17_ed_uc,1,2022,Learning optimization proxies for large-scale Security-Constrained Economic Dispatch,Electric Power Systems Research,10.1016/j.epsr.2022.108566,39,A,,Smart Grid Energy Management,surrogate_esm_tier_a
