cite_key,original_cite_key,identity_type,identity_value,year,title,venue,doi,sources
Faridpak2025,Faridpak2025,doi,10.1016/j.scs.2025.106572,2025,Resiliency enhancement of power system in wildland-urban interfaces using a coordinated learning-based method,Sustainable Cities and Society,10.1016/j.scs.2025.106572,surrogate_esm_tier_a
Sanad2026,Sanad2026,doi,10.1016/j.engstruct.2026.122642,2026,Surrogate-based fragility modeling framework for system-level wind damage assessment of transmission towers,Engineering Structures,10.1016/j.engstruct.2026.122642,surrogate_esm_tier_a
Zhu2026,Zhu2026,doi,10.3390/su18031705,2026,Multi-Objective Optimization Design of High-Power Permanent Magnet Synchronous Motor Based on Surrogate Model,Sustainability (Switzerland),10.3390/su18031705,surrogate_esm_tier_a
Ganeshamurthy2026,Ganeshamurthy2026,doi,10.1109/access.2026.3686587,2026,Quantum-Assisted Multi-Output Gaussian Processes for Line Parameter Estimation in Power Systems,IEEE Access,10.1109/access.2026.3686587,surrogate_esm_tier_a
Wang2026,Wang2026,doi,10.1016/j.egyr.2026.109192,2026,Data-driven distributed power regulation of a wind farm with optimized wind turbine operating points,Energy Reports,10.1016/j.egyr.2026.109192,surrogate_esm_tier_a
Buonomano2025,Buonomano2025,doi,10.1016/j.enconman.2025.120232,2025,Simulation-driven design and optimisation of fifth-generation district heating and cooling networks integrated into renewable-based collaborative energy initiatives,Energy Conversion and Management,10.1016/j.enconman.2025.120232,surrogate_esm_tier_a
Baghel2026239,Baghel2026239,doi,10.1002/9781394355310.ch12,2026,"Deep Learning for Process Optimization: Techniques, Applications, and Future Directions",Enhancing Hybrid Nanodevice Fabrication Efficiency Using Machine Learning,10.1002/9781394355310.ch12,surrogate_esm_tier_a
Liang20261,Liang20261,doi,10.19783/j.cnki.pspc.250085,2026,Adaptive inertia damping control strategy for virtual synchronous generators considering continuous output fluctuations; [考虑出力连续波动的虚拟同步机自适应惯量阻尼控制策略],Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control,10.19783/j.cnki.pspc.250085,surrogate_esm_tier_a
Han2026,Han2026,doi,10.1016/j.future.2025.107929,2026,A novel nonparametric Bayesian model for time series clustering: Application to electricity load profile characterization,Future Generation Computer Systems,10.1016/j.future.2025.107929,surrogate_esm_tier_a
Wang2026__2,Wang2026,doi,10.32604/cmc.2026.077997,2026,Edge-Intelligent Photovoltaic Fault Localization via NAS-Optimized Feature-Space Sub-Pixel Matching,"Computers, Materials and Continua",10.32604/cmc.2026.077997,surrogate_esm_tier_a
Hong2026,Hong2026,doi,10.1002/eng2.70738,2026,Enhancing Offshore Wind Utilization by Embedding Neural Surrogates of Total Transfer Capability in Security-Constrained Dispatch,Engineering Reports,10.1002/eng2.70738,surrogate_esm_tier_a
Abokhalil2026,Abokhalil2026,doi,10.1016/j.applthermaleng.2026.130093,2026,"Carbon-neutral tri- and multi-generation plants with CO2 capture unit integrated modified gas turbine, recuperative steam Rankine, absorption chiller, and MED: life cycle assessment and multi-scenario chameleon swarm optimization with XGBoost modeling",Applied Thermal Engineering,10.1016/j.applthermaleng.2026.130093,surrogate_esm_tier_a
Balvardi2026,Balvardi2026,doi,10.1016/j.enconman.2026.121380,2026,Dynamic simulation and multi-objective optimization of a novel PCM-integrated solar-biomass hybrid system with water harvesting,Energy Conversion and Management,10.1016/j.enconman.2026.121380,surrogate_esm_tier_a
