cite_key,year,type,title,journal,doi,tier,decision,matched_surrogate_terms,matched_ml_terms,matched_opt_terms,matched_esm_terms,matched_proxy_hints,matched_noise_terms,oa_status,oa_pdf_url,cited_by_count,referenced_works_count,primary_topic,oa_full_text_available,read_priority
Lv2026,2026,ARTICLE,Optimized extreme gradient boosting model for forecasting of turbine power output based on real-time SCADA data,"Sustainable Energy, Grids and Networks",10.1016/j.segan.2026.102241,out,reject,,machine learning; random forest; gradient boosting; xgboost; support vector,optimization,energy system; renewable energy,,,,,,,,,
Banka2026,2026,ARTICLE,Hierarchical Data-Driven and PSO-Based Energy Management of Hybrid Energy Storage Systems in DC Microgrids,Automation,10.3390/automation7020050,out,reject,,neural network,optimization,microgrid,,,,,,,,,
Doğan2026,2026,ARTICLE,An ensemble unsupervised machine learning–GIS framework for transparent and data-driven offshore wind farm siting,Ocean Engineering,10.1016/j.oceaneng.2025.123703,out,reject,,machine learning; random forest,energy planning,energy planning,,site selection; siting,,,,,,,
Yadav2025,2025,ARTICLE,Enhancing wind energy forecasting in India: A site-specific comparative analysis of machine learning models and Weibull statistics using long-term data,Sustainable Energy Technologies and Assessments,10.1016/j.seta.2025.104735,out,reject,,neural network; machine learning; random forest; gradient boosting; convolutional neural; lstm,energy planning,smart grid; power grid; energy planning,,wind speed forecasting; site selection,,,,,,,
Jajbhay2026,2026,ARTICLE,Comparative evaluation of AI forecasting models for renewable energy prediction in virtual power plant applications,Energy Conversion and Management,10.1016/j.enconman.2026.121459,out,reject,,deep learning; machine learning; xgboost; support vector; lstm,dispatch; energy planning,renewable energy; energy planning; virtual power plant,,load forecasting,,,,,,,
Liu20255715,2025,ARTICLE,Research and application of transformer fault diagnosis method based on SHAP-IHHO-Xgboost model,Journal of Computational Methods in Sciences and Engineering,10.1177/14727978251352157,out,reject,,gradient boosting; xgboost,optimization; optimisation,power system,,fault diagnosis; fault detection; transformer fault,,,,,,,
Faridpak2025,2025,ARTICLE,Resiliency enhancement of power system in wildland-urban interfaces using a coordinated learning-based method,Sustainable Cities and Society,10.1016/j.scs.2025.106572,A,accept,surrogate,learning-based,optimization; optimisation,power system; renewable energy,surrogate,,closed,,2,34,Optimal Power Flow Distribution,0,low
Majnoon2025,2025,ARTICLE,AI-driven energy optimization enhancing efficiency in urban environments with hybrid machine learning models,Cleaner Engineering and Technology,10.1016/j.clet.2025.101072,out,reject,,neural network; machine learning; random forest; gradient boosting,optimization; optimisation; energy planning,energy planning,,,,,,,,,
Sanad2026,2026,ARTICLE,Surrogate-based fragility modeling framework for system-level wind damage assessment of transmission towers,Engineering Structures,10.1016/j.engstruct.2026.122642,A,accept,surrogate,deep learning; learning-based,,power grid,surrogate,,hybrid,,,36,Power System Reliability and Maintenance,0,low
Sun2026331,2026,ARTICLE,Enhancing Electricity Demand Forecasting Based on a Hybrid Deep-Learning Framework,IEEJ Transactions on Electrical and Electronic Engineering,10.1002/tee.70101,out,reject,,deep learning; random forest,optimization,power system,,,,,,,,,
Zhu2026,2026,ARTICLE,Multi-Objective Optimization Design of High-Power Permanent Magnet Synchronous Motor Based on Surrogate Model,Sustainability (Switzerland),10.3390/su18031705,A,accept,surrogate,neural network,optimization; multi-objective; pareto,power system,surrogate,,gold,https://www.mdpi.com/2071-1050/18/3/1705/pdf,,,Electric Motor Design and Analysis,1,low
Nicolás-Martín20252279,2025,ARTICLE,Airborne wind energy system test bench electrical emulator,Wind Energy Science,10.5194/wes-10-2279-2025,out,reject,,,optimization; model predictive,energy system,,,,,,,,,
Mbasso20261286,2026,ARTICLE,High-Fidelity Simulation-Driven Control Framework for Robust Grid Integration of Renewable Energy Systems,Energy Science and Engineering,10.1002/ese3.70414,out,reject,,,optimization,energy system; power system; electric power system; smart grid; renewable energy; power grid,,,,,,,,,
Ganeshamurthy2026,2026,ARTICLE,Quantum-Assisted Multi-Output Gaussian Processes for Line Parameter Estimation in Power Systems,IEEE Access,10.1109/ACCESS.2026.3686587,A,accept,gaussian process,machine learning,optimization,power system; electric power system,approximate; computationally expensive; replace,,gold,,,,Gaussian Processes and Bayesian Inference,0,low
Wang2026,2026,ARTICLE,Dual-path feature extraction with MoE optimization for ultra-short-term wind power forecasting,Energy and AI,10.1016/j.egyai.2026.100684,out,reject,,deep learning; machine learning; gradient boosting; learning-based,optimization,power system,,,,,,,,,
Wang2026,2026,ARTICLE,Data-driven distributed power regulation of a wind farm with optimized wind turbine operating points,Energy Reports,10.1016/j.egyr.2026.109192,A,accept,surrogate,,optimization; mixed-integer,power system,approximate; surrogate,,gold,,,23,Wind Turbine Control Systems,0,low
Buonomano2025,2025,ARTICLE,Simulation-driven design and optimisation of fifth-generation district heating and cooling networks integrated into renewable-based collaborative energy initiatives,Energy Conversion and Management,10.1016/j.enconman.2025.120232,A,accept,surrogate,,optimization; optimisation,energy system; district heating,accelerate; surrogate,,hybrid,,2,48,Integrated Energy Systems Optimization,0,low
Chen2026,2026,ARTICLE,An explainable photovoltaic power forecasting method for output based on multi-dimensional similarity game fusion and ISCSO- XGBoost,Applied Energy,10.1016/j.apenergy.2026.127921,out,reject,,deep learning; machine learning; gradient boosting; xgboost,optimization; scheduling,power grid,,,,,,,,,
Baghel2026239,2026,BOOK,"Deep Learning for Process Optimization: Techniques, Applications, and Future Directions",Enhancing Hybrid Nanodevice Fabrication Efficiency Using Machine Learning,10.1002/9781394355310.ch12,A,accept,surrogate,neural network; deep learning; convolutional neural; recurrent neural,optimization; optimisation; model predictive,energy system,surrogate,,closed,,,2,,0,low
Liang20261,2026,ARTICLE,Adaptive inertia damping control strategy for virtual synchronous generators considering continuous output fluctuations; [考虑出力连续波动的虚拟同步机自适应惯量阻尼控制策略],Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control,10.19783/j.cnki.pspc.250085,A,accept,radial basis function,neural network,optimization,power system; electric power system; renewable energy,,,,,,,,,
Han2026,2026,ARTICLE,A novel nonparametric Bayesian model for time series clustering: Application to electricity load profile characterization,Future Generation Computer Systems,10.1016/j.future.2025.107929,A,accept,gaussian process,,optimization,power grid,approximation,,closed,,1,77,Time Series Analysis and Forecasting,0,low
Anees2026,2026,ARTICLE,"Explainable and secure wind power forecasting: SHAP-enhanced framework with feature stability, anomaly detection, and adversarial robustness",Applied Soft Computing,10.1016/j.asoc.2026.115091,out,reject,,machine learning; random forest,dispatch,energy system; renewable energy,,fault detection,,,,,,,
Wang2026,2026,ARTICLE,Edge-Intelligent Photovoltaic Fault Localization via NAS-Optimized Feature-Space Sub-Pixel Matching,"Computers, Materials and Continua",10.32604/cmc.2026.077997,A,accept,radial basis function,,optimization,power grid,,computer vision,diamond,,,,Photovoltaic System Optimization Techniques,0,low
Wang2025,2025,ARTICLE,Integrated optimization of equipment degradation modeling and spare parts inventory for predictive maintenance in power systems,Sustainable Energy Technologies and Assessments,10.1016/j.seta.2025.104626,out,reject,,machine learning,optimization; dispatch; mixed-integer; multi-objective; bilevel; robust optimization,power system,,,,,,,,,
Hong2026,2026,ARTICLE,Enhancing Offshore Wind Utilization by Embedding Neural Surrogates of Total Transfer Capability in Security-Constrained Dispatch,Engineering Reports,10.1002/eng2.70738,A,accept,surrogate,,optimization; dispatch; scheduling; mixed-integer; mixed integer,power system,surrogate,,gold,,,18,Electric Power System Optimization,0,low
Abokhalil2026,2026,ARTICLE,"Carbon-neutral tri- and multi-generation plants with CO2 capture unit integrated modified gas turbine, recuperative steam Rankine, absorption chiller, and MED: life cycle assessment and multi-scenario chameleon swarm optimization with XGBoost modeling",Applied Thermal Engineering,10.1016/j.applthermaleng.2026.130093,A,accept,surrogate,xgboost,optimization; multi-objective,energy system; energy hub,surrogate,,closed,,,96,Carbon Dioxide Capture Technologies,0,low
Li2026,2026,ARTICLE,Impact of environmental factors on renewable energy generation in China: A scenario analysis using predictive modeling for solar energy systems,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2026.116807,out,reject,,random forest,optimization; energy planning,energy system; power system; renewable energy; energy planning,,,,,,,,,
Balvardi2026,2026,ARTICLE,Dynamic simulation and multi-objective optimization of a novel PCM-integrated solar-biomass hybrid system with water harvesting,Energy Conversion and Management,10.1016/j.enconman.2026.121380,A,accept,surrogate,neural network; machine learning,optimization; multi-objective,energy system; thermal storage,approximate; surrogate,,closed,,,71,Thermodynamic and Exergetic Analyses of Power and Cooling Systems,0,low
Fine2026,2026,ARTICLE,"Co-Design for Real-Time Adaptability: Methodology, Implementation, and Real-Time Performance on a Morphing Wind Turbine","Journal of Dynamic Systems, Measurement and Control",10.1115/1.4070411,A,accept,surrogate,,optimization,energy system,surrogate,,closed,,,15,Wind Energy Research and Development,0,low
Wu2026,2026,ARTICLE,Ultra short term prediction of distributed photovoltaic power generation based on mixed kernel SVM,Measurement: Journal of the International Measurement Confederation,10.1016/j.measurement.2025.118683,A,accept,radial basis function,support vector; learning-based,optimization; scheduling,power system,,,closed,,3,23,Power Systems and Renewable Energy,0,low
Serbaya20261140,2026,ARTICLE,The role of knowledge engineering in enhancing renewable energy systems for industrial applications,Journal of Engineering Research (Kuwait),10.1016/j.jer.2025.10.006,B,candidate,,machine learning; random forest,optimization,energy system; renewable energy,approximate,fault detection,,,,,,,
