cite_key,dimension,label,confidence,page,evidence_source,evidence_snippet,rationale
Su2022315,pattern,P1 replacement,high,1,abstract and PDF,"The identified functional mapping relationship is further used as the surrogate to connect the DBN results with TSC-OPF for preventive control.","The DBN surrogate supplies the transient-stability response inside the OPF workflow."
Wang2020202933,pattern,P1 replacement,high,1,abstract and PDF,"The PRS metamodel estimates function values instead of the optimization model, avoiding repeated calls to the original complex objective function.","The metamodel explicitly replaces repeated objective-model evaluations."
Sami20181416,pattern,P1 replacement,high,5,PDF,"In this study, RSM by Minitab 16 was used to maximize the microencapsulation ratio at the optimal conditions.","The response surface is the response representation used directly for process optimization."
Ahmad202451,pattern,P1 replacement,high,9,PDF,"RSM desirability optimization was selected to identify the optimal combination of input parameters that would yield the maximum HHO gas production.","The fitted response surface is used directly as the process-optimization response."
Hu2020,pattern,P5 uncertainty,high,1,abstract and PDF,"We propose a Gaussian-process-emulator-based approach to quantify the uncertainty in the stochastic economic dispatch considering wind power penetration.","The emulator replaces repeated uncertainty propagation within stochastic dispatch."
Safta20172535,pattern,P5 uncertainty,high,1,abstract and PDF,"Accurate evaluations of expectations or higher order moments can require a prohibitively large number of samples; we propose an alternative based on polynomial chaos expansions.","PCE explicitly replaces Monte Carlo moment evaluation for stochastic economic dispatch."
Nematollahi2021,pattern,P5 uncertainty,high,1,abstract and PDF,"To deal with uncertainties of PV generation and load forecasting, lognormal distribution and Gaussian process quantile regression approaches are employed before solving the optimization problem.","The probabilistic surrogate representation supplies uncertainty information to stochastic planning."
Dong2022,pattern,P5 uncertainty,high,3,PDF,"An RMPC-based optimization strategy involving GPR-based source-load prediction and min-max rolling optimization is proposed.","GPR probability distributions are explicitly coupled to robust optimization."
Lin2023,pattern,P2 acceleration,high,15,PDF,"The paper proposes a data-driven Kriging-assisted method; Kriging surrogate models replace computationally expensive objective functions and reduce evaluation time.","The surrogate is updated and used within a surrogate-assisted evolutionary optimization process."
Sánchez-Zabala2024,pattern,P1 replacement,high,13,PDF,"A testbed was implemented to integrate the metamodels with optimization algorithms and optimize the daily building energy cost.","Building metamodels replace physics-based model evaluations inside the optimization testbed."
Reich2020,pattern,P1 replacement,high,13,PDF,"To use the approximations for an optimization, data generation and multi-stage modeling are combined with a multi-objective optimization algorithm.","The nonlinear approximations are the system-response models queried by the optimizer."
De Castro20247710,pattern,P1 replacement,high,4,PDF,"We introduce an MFGP-based energy prediction model as a surrogate for two forward-loop simulations because direct integration into trajectory optimization is computationally demanding.","The MFGP explicitly replaces forward simulations in trajectory optimization."
Salahinezhad2025,pattern,P1 replacement,high,11,PDF,"The TRS-RSM-LCA strategy efficiently identifies the optimal system design and reduces computational cost by 81.9% compared with the genetic algorithm.","The response surface replaces repeated transient simulations in the design optimization."
Zhang20203731,pattern,P1 replacement,high,11,PDF,"The TSK fuzzy approach identifies the relationship between uncertainty parameters and supply security before the second-stage economic dispatch optimization.","The learned supply-security response is embedded as a system approximation in the two-stage workflow."
Chen2022,doe,Simulation-generated data,high,4,PDF,"Data generation uses day-long simulations; empirical distributions of load, wind, solar, and dispatch decisions are used as training data.","The study explicitly labels simulation runs as the training-data source."
Xu20223066,doe,Simulation-generated data,high,7,PDF,"An ensemble of GA, PSO, BBO, DE, and L-MILP generates a dataset containing 1,000,000 samples.","Training labels are explicitly generated by optimization solvers."
Hirvonen2017323,doe,Adaptive sampling,high,2,PDF,"Optimization starts with a very small training set that is updated as optimization progresses, and the ANN is retrained after each optimization step.","Samples are added iteratively during optimization, matching the manuscript's adaptive-sampling category."
Xu20212696,doe,Quasi-Monte Carlo / sparse-grid collocation,high,4,PDF,"Collocation points are obtained from polynomial roots and multidimensional points are formed by their tensor product.","The training/evaluation design is an explicit polynomial-collocation construction."
Hu2024,doe,Historical operational data,high,2,PDF,"The Transformer network discovers the net-load structure using abundant historical data, after which a GP models the residuals.","The fitted forecasting models use historical net-load observations."
Ceylan2020944,doe,Historical operational data,high,,abstract,"Twenty-eight-year historical data from 1990 to 2017 were utilized for the training and testing stages of the models.","The abstract explicitly states the historical training-data source."
