cite_key,year,title,primary_bucket,has_pdf,extracted_pages,has_abstract,family,target,trust,data_source,doe_strategy,pattern,validation,workflow_context,complete_alluvial,complete_model_target_trust,complete_doe_pair
Wang2024,2024,Numerical assessment and optimization of photovoltaic-based hydrogen-oxygen Co-production energy system: A machine learning and multi-objective strategy,B21_mes_sector_coupling,yes,15,yes,GP / kriging,,Predictive-error based,,,,Point metrics; Stress test,Not explicitly identified,no,no,no
Perera2019191,2019,Machine learning methods to assist energy system optimization,B06_neural_surrogates,yes,18,yes,Neural network,,Predictive-error based,Synthetic data,Transfer learning,P5 uncertainty,Point metrics; Problem UQ,Simulation-driven workflow,yes,no,yes
Wu2022231,2022,Deep Learning to Optimize: Security-Constrained Unit Commitment with Uncertain Wind Power Generation and BESSs,B06_neural_surrogates,yes,9,yes,Neural network,Decisions / solution-related objects; Objective values; Physical states or constraints,Decision-oriented,Synthetic data,Latin hypercube sampling,P3 solution proxy,Decision-aware,Simulation-driven workflow,yes,yes,yes
Chen20244723,2024,End-to-End Feasible Optimization Proxies for Large-Scale Economic Dispatch,B06_neural_surrogates,yes,10,yes,Neural network,Decisions / solution-related objects,,Historical data; Synthetic data,,P3 solution proxy,Decision-aware,Hybrid model-coupled workflow,yes,no,no
Chen2022,2022,Learning optimization proxies for large-scale Security-Constrained Economic Dispatch,B06_neural_surrogates,yes,6,yes,Neural network,Decisions / solution-related objects,Predictive-error based,Synthetic data,,P3 solution proxy,Feasibility; Point metrics,Simulation-driven workflow,yes,yes,no
Liu20223726,2022,Explicit Data-Driven Small-Signal Stability Constrained Optimal Power Flow,B04_rbf_kernel,yes,12,yes,RBF / kernel,Physical states or constraints,,Synthetic data,Latin hypercube sampling,P1 replacement,Feasibility,Simulation-driven workflow,yes,no,yes
Xu20223066,2022,E2DNet: An Ensembling Deep Neural Network for Solving Nonconvex Economic Dispatch in Smart Grid,B06_neural_surrogates,yes,9,yes,Neural network,,Predictive-error based,Synthetic data,,P3 solution proxy,Point metrics,Simulation-driven workflow,yes,no,no
Park2019,2019,Physics-induced graph neural network: An application to wind-farm power estimation,B06_neural_surrogates,yes,14,yes,Neural network,Physical states or constraints,Physics-guided; Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
Han2018622,2018,Surrogate modeling-based multi-objective dynamic VAR planning considering short-term voltage stability and transient stability,B04_rbf_kernel,yes,11,yes,RBF / kernel,Objective values,,Synthetic data,Latin hypercube sampling,P5 uncertainty,,Simulation-driven workflow,no,no,yes
Su2022315,2022,Deep Belief Network Enabled Surrogate Modeling for Fast Preventive Control of Power System Transient Stability,B06_neural_surrogates,yes,12,yes,Neural network,Objective values; Physical states or constraints; Probability distributions / chance-constraint terms,,Synthetic data,Latin hypercube sampling,P1 replacement,Problem UQ,Simulation-driven workflow,yes,no,yes
Roth2019214,2019,A flexible metamodel architecture for optimal design of Hybrid Renewable Energy Systems (HRES) – Case study of a stand-alone HRES for a factory in tropical island,B22_microgrid_hub,yes,11,yes,,Objective values,,,,,,Not explicitly identified,no,no,no
Thrampoulidis2021,2021,A machine learning-based surrogate model to approximate optimal building retrofit solutions,B06_neural_surrogates,yes,18,yes,Neural network,Exogenous inputs,Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
