cite_key,author_label,year,section,tier,has_pdf,system,topic,family,doe,doe_prose,validation,validation_prose,pattern,pdf_claims,cited_by_count
Zhou20181,Zhou et al.,2018,mes,detail,yes,A robust optimization approach for integrated community energy system in energy and ancillary service markets,Integrated Energy Systems Optimization,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),Validation assesses prediction-interval calibration.,P5,,184
Zheng20231907,Zheng et al.,2023,mes,detail,yes,Distributed Dispatch of Integrated Electricity-Heat Systems With Variable Mass Flow,Integrated Energy Systems Optimization,GP / kriging,Adaptive sampling,,Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,P1,,48
Ren2024,Ren et al.,2024,mes,detail,yes,Data-driven surrogate optimization for deploying heterogeneous multi-energy storage to improve demand response,Building Energy and Comfort Optimization,Neural network,LHS / quasi-MC,Training inputs are placed by Latin hypercube sampling over the planning box.,Point metrics (RMSE/MAE/R²),,P1,,36
Dong2022,Dong et al.,2022,mes,detail,yes,Optimization strategy based on robust model predictive control for RES-CCHP system under multiple uncertainties,Integrated Energy Systems Optimization,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,35
Jalving2023,Jalving et al.,2023,mes,detail,yes,Beyond price taker: Conceptual design and optimization of integrated energy systems using machine learning market,Integrated Energy Systems Optimization,Neural network,Factorial / DoE,,Point metrics (RMSE/MAE/R²),,P1,,28
Wang2020202933,Wang et al.,2020,mes,detail,yes,Optimal Scheduling for Integrated Energy System Considering Scheduling Elasticity of Electric and Thermal Loads,Integrated Energy Systems Optimization,PCE / RSM,LHS / quasi-MC,,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P1,reported runtime reduction,23
Franzoso2025,Franzoso et al.,2025,mes,detail,yes,Deep reinforcement learning as a tool for the analysis and optimization of energy flows in multi-energy systems,Integrated Energy Systems Optimization,Neural network,--,,Point metrics (RMSE/MAE/R²),,P1,,11
Dong2023,Dong et al.,2023,mes,detail,yes,Chance-constrained optimal dispatch of integrated energy systems based on data-driven sparse polynomial chaos expansion,Integrated Energy Systems Optimization,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P1,,8
Shi2024__2,Shi et al.,2024,mes,detail,yes,Load forecasting for regional integrated energy system based on complementary ensemble empirical mode decomposition,Energy Load and Power Forecasting,GP / kriging,Adaptive sampling,,Point metrics (RMSE/MAE/R²),,P4,,2
Wang2017,Wang et al.,2017,moo,detail,yes,Design of a fractional order frequency PID controller for an islanded microgrid,Microgrid Control and Optimization,GP / kriging,Adaptive sampling,,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,90
