cite_key,section,doe_bucket,doe_prose,doe_audit,validation_t6,validation_narrative_tags,validation_prose,validation_false_positive,validation_pdf_extra,has_pdf_text
Zhou20181,mes,Adaptive sampling,,absent,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,Validation assesses prediction-interval calibration.,,,yes
Zheng20231907,mes,Adaptive sampling,,absent,Feasibility rate,Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,,,yes
Ren2024,mes,LHS / quasi-MC,Training inputs are placed by Latin hypercube sampling over the planning box.,pdf_supported,Point metrics (RMSE/MAE/R²),,,,,yes
Dong2022,mes,Adaptive sampling,,absent,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,,,,yes
Jalving2023,mes,Factorial / DoE,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
Wang2020202933,mes,LHS / quasi-MC,,absent,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,,,,yes
Franzoso2025,mes,--,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
Dong2023,mes,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,pdf_supported,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,,,yes
Shi2024__2,mes,Adaptive sampling,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
Wang2017,moo,Adaptive sampling,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
Han2018622,moo,LHS / quasi-MC,,absent,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,,,,yes
Wang2024,moo,Historical data,,absent,Feasibility rate; Point metrics (RMSE/MAE/R²),Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,,,yes
Zhang20234075,moo,LHS / quasi-MC,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
Dong2024,moo,Factorial / DoE,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
Salahinezhad2025,moo,Factorial / DoE,Training runs follow structured design-of-experiments grids.,pdf_supported,Point metrics (RMSE/MAE/R²),,,,,yes
Dong2023__2,moo,LHS / quasi-MC,,absent,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,,,,yes
Lalitha20231401,moo,Active learning,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
Reis2025,moo,Active learning,Further simulation runs are chosen by Bayesian optimization (acquisition-driven active learning).,unclassified_prose,Point metrics (RMSE/MAE/R²),,,,,yes
abbas_optimal_2024,moo,LHS / quasi-MC,,absent,Feasibility rate; Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,,,yes
alahmad_enhancing_2025,moo,LHS / quasi-MC,,absent,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,,,yes
alahmad_optimizing_2025,moo,LHS / quasi-MC,,absent,Stress test; Uncertainty (problem UQ),Stress test,Validation includes stress-test blocks.,,,yes
ali_optimizing_2025,moo,LHS / quasi-MC,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
an_multi-objective_2025,moo,LHS / quasi-MC,,absent,Feasibility rate,Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,,,yes
bagheri_miqcp-based_2025,moo,--,,absent,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,,,,yes
bendriss_novel_2025,moo,LHS / quasi-MC,,absent,Uncertainty (problem UQ),,,,,yes
chen_multi-objective_2025-1,moo,Factorial / DoE,,absent,Feasibility rate,Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,,,yes
cortes-caicedo_multi-objective_2025,moo,Factorial / DoE,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
liang_high_2024,moo,Multi-fidelity,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
malla_sg_optimization_2024,moo,Factorial / DoE,,absent,Point metrics (RMSE/MAE/R²),,,,,yes
tezer_multi-objective_2025,moo,Factorial / DoE,Training runs follow factorial designs over discrete factor levels.,pdf_supported,Point metrics (RMSE/MAE/R²),,,,,yes
tian_building_2025,moo,Historical data,The emulator is trained from historically observed operating data.,pdf_supported,Feasibility rate; Point metrics (RMSE/MAE/R²),Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,,,yes
