bucket_id,bucket_label,section,cite_key,year,cited_by_count,title
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Mylonopoulos202332697,2023,38,A Comprehensive Review of Modeling and Optimization Methods for Ship Energy Systems
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Ruan2021221,2021,54,Review of learning-Assisted power system optimization
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Khaloie2025,2025,26,Review of machine learning techniques for optimal power flow
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Lim2025,2025,3,Power System Decision Making in the Age of Deep Learning: A Comprehensive Review
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Starke2025214,2025,6,A review on the applicability of machine learning techniques to the metamodeling of energy systems
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Elsheikh2019622,2019,696,Modeling of solar energy systems using artificial neural network: A comprehensive review
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Xiao2018,2018,29,Application and comparison of metaheuristic and new metamodel based global optimization methods to the optimal operation of active distribution networks
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Koschwitz2018134,2018,189,Data-driven heating and cooling load predictions for non-residential buildings based on support vector machine regression and NARX Recurrent Neural Network: A comparative study on district scale
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Cao2023,2023,47,Digital technologies for net-zero energy transition: a preliminary study
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Bhosekar2018,2018,0,"Advances in surrogate based modeling, feasibility analysis, and optimization: A review"
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",DiazManriquez2016,2016,0,A Review of Surrogate Assisted Multiobjective Evolutionary Algorithms
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",FernandezGodino2023,2023,0,Review of Multi-Fidelity Models
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Mohammadi2024,2024,0,Surrogate Modeling for Solving OPF: A Review
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Westermann2019,2019,0,Surrogate modelling for sustainable building design -- A review
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Elwy2024,2024,0,The artificial intelligence reformation of sustainable building design approach: A systematic review on building design optimization methods using surrogate models
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Zhang2026_building,2026,0,AI-driven surrogate modeling for performance-oriented parametric optimization in sustainable building design: a systematic review
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Manco2024,2024,0,A review on multi energy systems modelling and optimization
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Klemm2021,2021,0,Modeling and optimization of multi-energy systems in mixed-use districts: A review of existing methods and approaches
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Fattahi2020,2020,0,A systemic approach to analyze integrated energy system modeling tools: A review of national models
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",agha_kassab_comprehensive_2024,2024,0,A Comprehensive Review of Sizing and Energy Management Strategies for Optimal Planning of Microgrids with {PV} and Other Renewable Integration
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",nallolla_multi-objective_2023,2023,0,Multi-Objective Optimization Algorithms for a Hybrid {AC}/{DC} Microgrid Using {RES}: A Comprehensive Review
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",Li2025_hydrogen,2025,0,"A comprehensive review of hydrogen integrated hybrid renewable energy systems: Configurations, models, simulation and optimization with artificial intelligence"
B01_cornerstone_reviews,Cornerstone reviews and surveys,"Sec. 1, 2, 8",ChenRenZhou2023,2023,0,Review of multi-objective optimization in long-term energy system models
