cite_key,year,type,title,journal,doi,focus,is_moo,is_mes,is_mcdm,surrogate_signal,matched_moo_terms,matched_mes_terms,matched_mcdm_terms,matched_algorithm_terms,matched_surrogate_terms,matched_ml_terms,matched_proxy_hints
wang_optimizing_2024,2024,ARTICLE,Optimizing Economic Dispatch for Microgrid Clusters Using Improved Grey Wolf Optimization,Electronics (Switzerland),10.3390/electronics13163139,moo_mes,1,1,0,0,multi-objective,microgrid,,grey wolf; gwo,,,
wang_optimal_2024,2024,ARTICLE,An Optimal Dispatching Algorithm of Microgrid Based on Improved Particle Filter,{IAENG} Int. J. Appl. Math.,,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; microgrids,,ga,,,computation time
wang_research_2024,2024,ARTICLE,Research on Multi-objective Optimization of a {CCHP} System with Solar and Biomass Complementary Based on Improved Beluga Whale Algorithm,Dongli Gongcheng Xuebao/Jr.Chi. Soc.Pr.Eng.,10.19805/j.cnki.jcspe.2024.230547,moo_mes,1,1,0,0,multi-objective; non-dominated; nsga,"cchp; combined cooling, heating, and power; chp; hydrogen",,genetic algorithm; ga; nsga; particle swarm; beluga whale,,,
wang_differential_2021,2021,ARTICLE,Differential evolution algorithm based on {PCA} to determine the objective function to optimize the configuration of microgrid,J. Phys. Conf. Ser.,10.1088/1742-6596/2003/1/012015,moo_mes,1,1,0,0,multi-objective; pareto,microgrid; micro-grid; microgrids,,differential evolution,,,
abbas_optimal_2024,2024,ARTICLE,Optimal scheduling and management of grid-connected distributed resources using improved decomposition-based many-objective evolutionary algorithm,{IET} Gener. Transm. Distrib.,10.1049/gtd2.13221,moo_mes,1,1,0,0,multi-objective; multiobjective; many-objective,distributed resources,,,,,
abbes_life_2014,2014,ARTICLE,"Life cycle cost, embodied energy and loss of power supply probability for the optimal design of hybrid power systems",Math Comput Simul,10.1016/j.matcom.2013.05.004,moo_mes,1,1,0,0,multi-objective; multiobjective; pareto,hybrid renewable energy system; hybrid renewable energy systems; stand-alone,,genetic algorithm,,,
abd_elraheem_optimization_2019,2019,INPROCEEDINGS,Optimization Problem Statement for Power Generation Management and Control in Multi-Agent Microid,Institute of Electrical and Electronics Engineers Inc,10.1109/CTS48763.2019.8973261,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; micro grid; microgrids,,,,,
abdelaziz_monte-carlo_2019,2019,ARTICLE,Monte-Carlo simulation based multi-objective optimum allocation of renewable distributed generation using {OpenCL},Electr Power Syst Res,10.1016/j.epsr.2019.01.012,moo_mes,1,1,0,0,multi-objective; multiobjective; nsga,distributed generation,,ga; nsga,,,
abdelaziz_optimum_2016,2016,ARTICLE,Optimum Reconfiguration of Droop-Controlled Islanded Microgrids,{IEEE} Trans Power Syst,10.1109/TPWRS.2015.2456154,moo_mes,1,1,0,0,multi-objective; multiobjective; non-dominated; nsga,microgrid; microgrids; distributed generation,,genetic algorithm; ga; nsga,,,
abdolmaleki_net-zero_2024,2024,ARTICLE,"Net-zero energy management through multi-criteria optimizations of a hybrid solar-hydrogen energy system for a laboratory in Toronto, Canada",Energy Build.,10.1016/j.enbuild.2024.114186,moo_mes,1,1,0,0,multi-objective; multiobjective; multi-criteria,microgrid; micro-grid; off-grid; hydrogen,,ga,,,
