cite_key,dimension,label,confidence,score,page,evidence_source,evidence_snippet
Chen2022,doe,,unassigned,0,,,
Chen20244723,doe,,unassigned,0,,,
Engelmann20186188,doe,,unassigned,0,,,
Gao2025,doe,,unassigned,0,,,
Guo202115024,doe,,unassigned,0,,,
Guo20222057,doe,,unassigned,0,,,
Hirvonen2017323,doe,,unassigned,0,,,
Hu2024,doe,,unassigned,0,,,
Liu20242534,doe,,unassigned,0,,,
Muhlpfordt20174490,doe,,unassigned,0,,,
Tan2026,doe,Active learning,high,8,2,full PDF follow-up,"y beneficial for applications where training data is scarce. additionally, gp training can be interlaced with active learning [14] to overcome data scarcity if generating data is expensive and time-consuming. due to these advantages, gp has garnered increasing attention in t"
Van Acker2022,doe,,unassigned,0,,,
Wang2022812,doe,,unassigned,0,,,
Xu20212696,doe,,unassigned,0,,,
Xu20223066,doe,,unassigned,0,,,
Zhang2025__4,doe,,unassigned,0,,,
Kaewdornhan2022130373,family,RBF / kernel,high,9,2,full PDF follow-up,"te the power param- eters instead of the iterative approach. in references, [24] and [25] authors developed a radial basis function and deep belief network, respectively, as a surrogate model to predict the power parameters. srithapon et al. [23] proposed deep neural networks (dnn"
Zheng20231907,family,,unassigned,0,,,
vahidinasab_overview_2020,family,,unassigned,0,,,
Ahmad202451,pattern,,unassigned,0,,,
Amjady2017,pattern,,unassigned,0,,,
Babaeiyazdi2021,pattern,,unassigned,0,,,
Buchanan2024,pattern,,unassigned,0,,,
De Castro20247710,pattern,,unassigned,0,,,
Dong2022,pattern,,unassigned,0,,,
Dong2024,pattern,,unassigned,0,,,
Du2025,pattern,,unassigned,0,,,
Faraji2020157284,pattern,,unassigned,0,,,
Fu20202904,pattern,,unassigned,0,,,
Hu2020,pattern,,unassigned,0,,,
Hu2021671,pattern,,unassigned,0,,,
Jahangiri20244849,pattern,,unassigned,0,,,
Karamichailidou20212137,pattern,,unassigned,0,,,
Kim2021,pattern,,unassigned,0,,,
Koschwitz2018134,pattern,,unassigned,0,,,
Li2023,pattern,,unassigned,0,,,
Lin2023,pattern,,unassigned,0,,,
Nematollahi2021,pattern,,unassigned,0,,,
Reich2020,pattern,,unassigned,0,,,
Safta20172535,pattern,,unassigned,0,,,
Salahinezhad2025,pattern,,unassigned,0,,,
Sami20181416,pattern,,unassigned,0,,,
Shi2024,pattern,,unassigned,0,,,
Su2022315,pattern,,unassigned,0,,,
Subedi2026157,pattern,,unassigned,0,,,
Sun20191497,pattern,,unassigned,0,,,
Sánchez-Zabala2024,pattern,,unassigned,0,,,
Taghizadeh2024,pattern,P1 replacement,high,8,2,full PDF follow-up,"gnn models’ performance against two different nn setups to showcase the superiority of the gnn structure as a surrogate for power flow analysis. in our second experiment, we examine a scenario where the grid’s topology is altered due to line removal. this experiment investigates the"
Tian2020,pattern,,unassigned,0,,,
Wang20192635,pattern,,unassigned,0,,,
Wang2020202933,pattern,,unassigned,0,,,
Wu2024391,pattern,,unassigned,0,,,
Yan2019625,pattern,,unassigned,0,,,
Yang2020415,pattern,,unassigned,0,,,
Yang2024__2,pattern,,unassigned,0,,,
Zhang2019270,pattern,,unassigned,0,,,
Zhang20203731,pattern,,unassigned,0,,,
alahmad_optimizing_2025,pattern,,unassigned,0,,,
bendriss_novel_2025,pattern,,unassigned,0,,,
Aghaei Pour2022303,validation,,unassigned,0,,,
Chen2025244,validation,,unassigned,0,,,
Ghosh2023,validation,,unassigned,0,,,
Han2018622,validation,,unassigned,0,,,
Lalitha20231401,validation,,unassigned,0,,,
Nikolaidis2021,validation,,unassigned,0,,,
Rigo-Mariani20171762,validation,,unassigned,0,,,
Rodgers2018951,validation,,unassigned,0,,,
Wu2021,validation,,unassigned,0,,,
