cite_key,dimension,label,confidence,evidence_source,page,evidence_snippet,evidence_weight,adjudication
Aghaei Pour2022303,family,GP / kriging,high,pdf,8,"thm that we use in our interactive method (called interactive K-RVEA) because it had reasonable results in similar problems (Rodemann 2019; Cheng et al. 2017). Moreover, we used Kriging models because they provide uncertainty information that is useful for our model management strat- egy. Kriging models have been used with a priori EMO algorithms before (Chugh et al. 2018) to approximate the whole PF. However, to the best of our knowledge,",9,automatic
Aghaei Pour2022303,target,Objective values,high,pdf,8,"the main steps of interactive K-RVEA. First, we generate the initial population, evaluate it using the original objective functions, and train a Kriging model for each expensive objective function. Next, the DM provides preferences, and we solve a multiobjective optimization problem (by incorporating the preferences) by replacing original objective functions with the Kriging mod- els. After generating an approximation of a part of the Pareto optimal",5,automatic
Chen2025244,data_source,Historical data,high,pdf,2,"n challenges. In the realm of geothermal energy system design and optimization, two main challenges are encountered (Chen et al., 2024a): how to construct an ML model with limited historical data to assist further decision-making efficiently and effectively; how to iteratively infill the most informative samples to enhance the accuracy of surrogates and accelerate convergence. This study endeavors to surmount these chal- lenges through the knowledge t",8,automatic
Chen2025244,doe_strategy,Active learning,high,abstract,,"el utilizes all available variables to construct a high-fidelity surrogate. Knowledge transfer from coarse surrogate can guide the fine surrogate search into a promising subspace. Active learning technique is further leveraged to improve the accuracy of surrogate by iteratively querying the most informative data points. To evaluate effectiveness of the proposed approach, benchmark function suites and two fractured geothermal energy systems are employe",8,automatic
Chen2025244,doe_strategy,Multi-fidelity training,high,title,,Multi-fidelity machine learning with knowledge transfer enhances geothermal energy system design and optimization,8,automatic
Chen2025244,pattern,P2 acceleration,high,pdf,3,"d high uncertainty of the final provided optimal solution, active learning is employed to refine the ML model and iteratively select the most informative samples based on informed acquisition function. This strategy allows for more accurate ML predictions and fewer simulation evaluations, enabling faster convergence by orders of magnitude. This study presents a novel demonstration of online op- timization for geothermal energy systems through knowl- edge t",8,automatic
Chen2025244,target,Objective values,high,pdf,12,"MFSKT 0 0.5 1 1.5 2 10-14 Simulation evaluations Probabilistic density function (a) (b) NPV value ($) Fig. 11 . Convergence curves and probability density function of the sampled objective value in the active learning stage of DE, GPEME, SACOSO, SHPSO and MFSKT for the geothermal system. (a) Averaged convergence results of canonical DE, advanced surrogate-guided algorithms and the proposed algorithm with 5 independent runs and (b) probability density",5,automatic
Chen2025244,trust,Posterior uncertainty,high,pdf,3,"d high uncertainty of the final provided optimal solution, active learning is employed to refine the ML model and iteratively select the most informative samples based on informed acquisition function. This strategy allows for more accurate ML predictions and fewer simulation evaluations, enabling faster convergence by orders of magnitude. This study presents a novel demonstration of online op- timization for geothermal energy systems through knowl- edge t",8,automatic
Hu2020,doe_strategy,Latin hypercube sampling,high,pdf,4,"ction (pdf) of ξvia a kernel density estimation [16]. Later, using that density estimation, the input samples are regenerated. Finally, with the training samples selected from the Latin hypercube sampling, the GPE surrogate is constructed to propagate the uncertainty from the input samples to the output. The details are described in Algorithm 1. Note that since the input of the SED is spa- tiotemporally correlated, our approach is naturally compatible with the",8,automatic
Hu2020,family,GP / kriging,high,title,,Uncertainty quantification in stochastic economic dispatch using Gaussian process emulation,9,automatic
