cite_key,year,title,primary_bucket,has_pdf,extracted_pages,has_abstract,family,target,trust,data_source,doe_strategy,pattern,validation,complete_alluvial,complete_model_target_trust,complete_doe_pair
Wang2024,2024,Numerical assessment and optimization of photovoltaic-based hydrogen-oxygen Co-production energy system: A machine learning and multi-objective strategy,B21_mes_sector_coupling,yes,15,yes,,,,,,,Point metrics,no,no,no
Perera2019191,2019,Machine learning methods to assist energy system optimization,B06_neural_surrogates,yes,18,yes,Neural network,,,,Transfer learning,,Point metrics; Problem UQ,no,no,no
Liu20223726,2022,Explicit Data-Driven Small-Signal Stability Constrained Optimal Power Flow,B04_rbf_kernel,yes,12,yes,RBF / kernel,Physical states or constraints,,,,,,no,no,no
Roth2019214,2019,A flexible metamodel architecture for optimal design of Hybrid Renewable Energy Systems (HRES) – Case study of a stand-alone HRES for a factory in tropical island,B22_microgrid_hub,yes,11,yes,,Objective values,,,,,,no,no,no
Xiao2018,2018,Application and comparison of metaheuristic and new metamodel based global optimization methods to the optimal operation of active distribution networks,B01_cornerstone_reviews,yes,20,yes,,Probability distributions / chance-constraint terms,,,Active learning; Latin hypercube sampling,,,no,no,no
Li2023,2023,A novel method of creating machine learning-based time series meta-models for building energy analysis,B05_tree_ensembles,yes,20,yes,Tree ensembles,,Predictive-error based,,,,Point metrics,no,no,no
Wang2020202933,2020,Optimal Scheduling for Integrated Energy System Considering Scheduling Elasticity of Electric and Thermal Loads,B03_pce_response_surface,yes,11,yes,PCE / RSM,Objective values,,Historical data,,P1 replacement,,no,no,no
Hu2020,2020,Uncertainty quantification in stochastic economic dispatch using Gaussian process emulation,B02_gp_kriging,yes,5,yes,GP / kriging,Probability distributions / chance-constraint terms,,,Latin hypercube sampling,P5 uncertainty,,no,no,no
Lawson201647,2016,Bayesian framework for power network planning under uncertainty,B15_uncertainty,yes,10,yes,,,,,,,,no,no,no
Liang20246508,2024,Joint Chance-Constrained Unit Commitment: Statistically Feasible Robust Optimization With Learning-to-Optimize Acceleration,B07_constraint_aware,yes,14,yes,Tree ensembles,Decisions / solution-related objects; Objective values; Probability distributions / chance-constraint terms,Decision-oriented,Historical data,,P3 solution proxy,Decision-aware; Feasibility,yes,yes,no
Rodgers2018951,2018,Generation expansion planning considering health and societal damages – A simulation-based optimization approach,B19_capacity_expansion,yes,13,yes,GP / kriging,Objective values,Posterior uncertainty,,Active learning,P2 acceleration,,no,yes,no
Zhou2024,2024,Machine learning-based digital district heating/cooling with renewable integrations and advanced low-carbon transition,B20_district_heating,yes,20,yes,,,,,,,,no,no,no
Chen2025244,2025,Multi-fidelity machine learning with knowledge transfer enhances geothermal energy system design and optimization,B11_multi_fidelity,yes,16,yes,,Objective values,Posterior uncertainty,Historical data,Active learning; Multi-fidelity training,P2 acceleration,,no,no,yes
Aghaei Pour2022303,2022,Surrogate assisted interactive multiobjective optimization in energy system design of buildings,B12_bayes_accel,yes,20,yes,GP / kriging,Objective values,,,,,,no,no,no
abbas_optimal_2024,2024,Optimal scheduling and management of grid-connected distributed resources using improved decomposition-based many-objective evolutionary algorithm,B14_decomposition,yes,20,yes,,,,,,,Feasibility,no,no,no
Liang2024__2,2024,Expert knowledge data-driven based actor–critic reinforcement learning framework to solve computationally expensive unit commitment problems with uncertain wind energy,B17_ed_uc,yes,14,yes,Tree ensembles,Decisions / solution-related objects; Objective values,,Historical data,,,,no,no,no
