term,cluster,frequency
optimization,Optimization and decision methods,91
machine learning,Surrogate and AI methods,43
renewable energy,Energy technologies,43
multi-objective optimization,Optimization and decision methods,35
surrogate model,Surrogate and AI methods,33
uncertainty analysis,Performance objectives,33
wind power,Energy technologies,32
forecasting,Surrogate and AI methods,31
neural network,Surrogate and AI methods,29
electric load dispatching,Optimization and decision methods,29
uncertainty,Performance objectives,27
electric power transmission networks,Energy-system context,26
decision making,Optimization and decision methods,23
sensitivity analysis,Performance objectives,21
battery storage,Energy technologies,20
scheduling,Optimization and decision methods,20
energy efficiency,Performance objectives,17
genetic algorithm,Optimization and decision methods,17
integer programming,Optimization and decision methods,16
deep learning,Surrogate and AI methods,16
data-driven,Surrogate and AI methods,16
alternative energy,Energy technologies,16
optimal power flows,Optimization and decision methods,15
digital storage,Energy technologies,15
energy management,Energy-system context,14
energy systems,Energy-system context,14
support vector machines,Surrogate and AI methods,14
solar energy,Energy technologies,13
wind,Energy technologies,13
deep neural networks,Surrogate and AI methods,13
microgrid,Energy-system context,13
regression analysis,Surrogate and AI methods,13
constrained optimization,Optimization and decision methods,12
computational efficiency,Performance objectives,12
response surface methodology,Surrogate and AI methods,12
particle swarm optimization pso,Optimization and decision methods,12
optimization algorithms,Optimization and decision methods,11
costs,Performance objectives,11
electric power distribution,Energy-system context,11
energy planning,Optimization and decision methods,11
bayesian optimization,Optimization and decision methods,11
electric power plant loads,Energy-system context,11
evolutionary algorithms,Optimization and decision methods,10
integrated energy systems,Energy-system context,10
polynomial chaos,Surrogate and AI methods,10
economic dispatch,Optimization and decision methods,9
solar power generation,Energy technologies,9
district heating,Energy-system context,9
uncertainty quantifications,Performance objectives,9
reinforcement learnings,Surrogate and AI methods,9
reinforcement learning,Surrogate and AI methods,9
energy management systems,Energy-system context,9
electric power generation,Energy-system context,8
cost benefit analysis,Performance objectives,8
electric power system control,Energy-system context,8
global optimization,Optimization and decision methods,8
heat storage,Energy technologies,8
polynomial chaos expansion,Surrogate and AI methods,8
robust optimization,Optimization and decision methods,8
load forecasting,Surrogate and AI methods,8
smart grid,Energy-system context,8
model predictive control,Optimization and decision methods,8
radial basis function neural networks,Surrogate and AI methods,8
power system,Energy-system context,7
metamodeling,Surrogate and AI methods,7
photovoltaics,Energy technologies,7
cost reduction,Performance objectives,7
electric power transmission,Energy-system context,7
carbon,Performance objectives,7
linear programming,Optimization and decision methods,7
battery management systems,Energy technologies,7
economic and social effects,Performance objectives,7
economics,Performance objectives,7
microgrids,Energy-system context,7
weather forecasting,Surrogate and AI methods,7
combined heat and power,Energy technologies,7
convolutional neural networks,Surrogate and AI methods,7
hydrogen storage,Energy technologies,6
multilayer neural networks,Surrogate and AI methods,6
risk assessment,Performance objectives,6
efficiency,Performance objectives,6
support vector regression,Surrogate and AI methods,6
photovoltaic cells,Energy technologies,6
computational costs,Performance objectives,6
gas emissions,Performance objectives,6
thermal energy,Energy technologies,6
electric vehicles,Energy technologies,6
forecasting method,Surrogate and AI methods,6
optimal power flow problem,Optimization and decision methods,5
learning to optimize,Optimization and decision methods,5
probabilistic forecasting,Surrogate and AI methods,5
hydrogen production,Energy technologies,5
pareto principle,Optimization and decision methods,5
machine learning methods,Surrogate and AI methods,5
operating costs,Performance objectives,5
power systems stability,Energy-system context,5
economic dispatch problems,Optimization and decision methods,5
electric power system interconnection,Energy-system context,5
electric power system planning,Optimization and decision methods,5
kriging,Surrogate and AI methods,5
electric load forecasting,Surrogate and AI methods,5
fuel cell,Energy technologies,5
artificial intelligence,Surrogate and AI methods,5
electric energy storage,Energy technologies,5
electric power systems,Energy-system context,5
distributed energy systems,Energy-system context,4
convex optimization,Optimization and decision methods,4
support vectors machine,Surrogate and AI methods,4
wind farm,Energy technologies,4
global sensitivity analysis,Performance objectives,4
hybrid renewable system,Energy technologies,4
cost effectiveness,Performance objectives,4
renewable energy generation,Energy technologies,4
machine learning models,Surrogate and AI methods,4
stochastic optimizations,Optimization and decision methods,4
cost functions,Performance objectives,4
environmental impact,Performance objectives,4
energy system models,Energy-system context,4
buildings,Energy-system context,4
life cycle,Performance objectives,4
fuzzy neural networks,Surrogate and AI methods,4
robust control,Performance objectives,4
short term load forecasting,Surrogate and AI methods,4
capacity planning,Optimization and decision methods,4
hybrid energy system,Energy-system context,4
storage systems,Energy technologies,4
nonlinear programming,Optimization and decision methods,4
mixed integer linear programming,Optimization and decision methods,4
economic analysis,Performance objectives,4
optimal systems,Optimization and decision methods,3
power system dynamics,Energy-system context,3
machine learning approaches,Surrogate and AI methods,3
adversarial machine learning,Surrogate and AI methods,3
power system operations,Energy-system context,3
wind velocity,Energy technologies,3
optimal control systems,Optimization and decision methods,3
graph neural networks,Surrogate and AI methods,3
response surface method,Surrogate and AI methods,3
thermal energy storage systems,Energy technologies,3
gaussian process emulators,Surrogate and AI methods,3
gaussian process models,Surrogate and AI methods,3
electric vehicle charging,Energy technologies,3
cost analysis,Performance objectives,3
simulation optimization,Optimization and decision methods,3
solar cells,Energy technologies,3
