cite_key,year,type,title,journal,doi,tier,decision,matched_surrogate_terms,matched_ml_terms,matched_opt_terms,matched_esm_terms,matched_proxy_hints,matched_noise_terms,oa_status,oa_pdf_url,cited_by_count,referenced_works_count,primary_topic,oa_full_text_available,read_priority
Abokhalil2026,2026,ARTICLE,"Carbon-neutral tri- and multi-generation plants with CO2 capture unit integrated modified gas turbine, recuperative steam Rankine, absorption chiller, and MED: life cycle assessment and multi-scenario chameleon swarm optimization with XGBoost modeling",Applied Thermal Engineering,10.1016/j.applthermaleng.2026.130093,A,accept,surrogate,xgboost,optimization; multi-objective,energy system; energy hub,surrogate,,closed,,,96,Carbon Dioxide Capture Technologies,0,low
Li2026,2026,ARTICLE,"Integrated multi-energy hybrid systems for net-zero buildings: Dynamic simulation, lifecycle 4E assessment, and multi-objective optimization",Energy and Buildings,10.1016/j.enbuild.2025.116873,A,accept,response surface; response surface methodology,,optimization; multi-objective,multi-energy; multi energy; renewable energy; heat pump,,,closed,,1,46,Thermodynamic and Exergetic Analyses of Power and Cooling Systems,0,low
Li2025,2025,ARTICLE,Study of a solar-wind-hydrogen-gas-grid multi-energy system with CCHP distributed cooperative operation,Applied Thermal Engineering,10.1016/j.applthermaleng.2025.128562,A,accept,response surface; response surface methodology,,optimization; multi-objective,energy system; power system; multi-energy; renewable energy; heat pump,,,closed,,3,45,Hybrid Renewable Energy Systems,0,low
Shaha20263,2026,ARTICLE,Advanced optimization strategies for resilient and cost-efficient hydrogen-based AC/DC microgrids with integrated RES and BESS,Energy Storage and Saving,10.1016/j.enss.2025.05.010,A,accept,gaussian process,neural network; machine learning; convolutional neural,optimization; optimisation; dispatch; mixed integer; multi-objective; model predictive,energy system; sector coupling; microgrid; renewable energy; energy dispatch,approximate,,diamond,,2,21,Microgrid Control and Optimization,0,low
Ji2026,2026,ARTICLE,Integrated Wind-Solar-LNG system for green liquefied hydrogen and multi-energy supply: Techno-Economic-Environmental analysis and data-driven ANN-GA optimization,Fuel,10.1016/j.fuel.2026.138864,A,accept,surrogate,neural network,optimization; multi-objective,energy system; multi-energy; integrated energy,surrogate,,closed,,,62,Hybrid Renewable Energy Systems,0,low
Zou2025,2025,ARTICLE,Hierarchical optimal scheduling of electricity-hydrogen integrated energy systems via collective neurodynamic optimization,Applied Energy,10.1016/j.apenergy.2025.126408,A,accept,surrogate,neural network; learning-based; recurrent neural,optimization; scheduling; mixed-integer; mixed integer; multi-objective; bilevel,energy system; integrated energy,accelerate; surrogate,,closed,,4,50,Integrated Energy Systems Optimization,0,low
Wu2026,2026,ARTICLE,Carbon Emission Meta-block Assisted Process Optimization for Tensile Properties and Carbon Efficiency in Laser Butt Welding,International Journal of Precision Engineering and Manufacturing - Green Technology,10.1007/s40684-025-00808-y,A,accept,metamodel; meta model,,optimization; optimisation; pareto,multi-energy,,,closed,,,61,Welding Techniques and Residual Stresses,0,low
2026,2026,ARTICLE,"12th Frontier Academic Forum of Electrical Engineering, FAFEE 2025",Lecture Notes in Electrical Engineering,,A,accept,gaussian process,regression model,optimization; multi-objective,power system; multi-energy; microgrid,,fault diagnosis,,,,,,,
Dong2026,2026,CONFERENCE,Dynamic evaluation on microgrids operation model and benefit realization through optimized RBFNN,Proceedings of SPIE - The International Society for Optical Engineering,10.1117/12.3094303,A,accept,radial basis function,neural network,optimization; multi-objective,microgrid; renewable energy; power grid,,,closed,,1,,Microgrid Control and Optimization,0,low
Assareh2025,2025,ARTICLE,Multi-Objective Optimization of a Climate-Responsive Green Hydrogen-Based Multi-Generation System with Advanced Energy Storage and Heat Recovery,Advanced Sustainable Systems,10.1002/adsu.202400888,A,accept,response surface; response surface methodology,,optimization; multi-objective,energy system; multi-energy; multi energy,,,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adsu.202400888,3,44,Hybrid Renewable Energy Systems,1,low
Li2025,2025,ARTICLE,Techno-economic-environmental assessment and optimization of multi-energy complementary systems under dynamic building loads,Energy,10.1016/j.energy.2025.138935,A,accept,response surface; response surface methodology,,optimization; multi-objective,energy system; power system; multi-energy; multi energy; renewable energy; heat pump,,,closed,,1,57,Refrigeration and Air Conditioning Technologies,0,low
Kotegov2025,2025,ARTICLE,Multi-method optimization of solar district energy systems with battery and thermal energy storage via real-time TRNSYS-Python coupling,Applied Energy,10.1016/j.apenergy.2025.126528,A,accept,surrogate,,optimization; optimisation; energy planning; multi-objective,energy system; district energy; renewable energy; energy planning; thermal storage,computational cost; surrogate,,hybrid,,1,68,Integrated Energy Systems Optimization,0,low
Ata2025,2025,ARTICLE,"Comprehensive evaluation of a gas turbine-based multi-generation system for power, heating, cooling, freshwater, hydrogen and ammonia: 4E assessment and multi-objective optimization with RSM desirability approach",Renewable Energy,10.1016/j.renene.2025.122900,A,accept,response surface; response surface methodology,regression model,optimization; optimisation; multi-objective,energy system; multi-energy; multi energy,,,green,,16,100,Thermodynamic and Exergetic Analyses of Power and Cooling Systems,0,medium
Wang2025,2025,ARTICLE,Multi-objective optimization of hybrid energy storage systems under uncertainty,Journal of Energy Storage,10.1016/j.est.2024.115218,A,accept,polynomial chaos,,optimization; dispatch; multi-objective,energy system; multi-energy; renewable energy,,,closed,,11,69,Hybrid Renewable Energy Systems,0,medium
Dong2024,2024,ARTICLE,Design and optimal scheduling of forecasting-based campus multi-energy complementary energy system,Energy,10.1016/j.energy.2024.133088,A,accept,surrogate,,scheduling; multi-objective; multi objective; pareto,energy system; multi-energy; multi energy; renewable energy,surrogate,,closed,,14,49,Energy Load and Power Forecasting,0,medium
Assareh2025,2025,ARTICLE,Solar-powered tri-generation system integrating organic rankine cycle and absorption chiller for passenger trains energy supply,Energy and Built Environment,10.1016/j.enbenv.2025.05.009,A,accept,response surface; response surface methodology,neural network,optimization; multi-objective,energy system; multi-energy,,,diamond,,4,35,Thermodynamic and Exergetic Analyses of Power and Cooling Systems,0,low
Zhou2024,2024,ARTICLE,Machine learning-based digital district heating/cooling with renewable integrations and advanced low-carbon transition,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2024.114466,A,accept,surrogate,machine learning; learning-based,optimization; optimisation; dispatch; energy planning; multi-objective,energy system; district heating; district energy; smart grid; renewable energy; power grid; energy planning; energy dispatch,surrogate,,green,https://pure.tue.nl/ws/files/328815280/1-s2.0-S1364032124001898-main.pdf,49,221,Integrated Energy Systems Optimization,1,medium
Wang2024302,2024,CONFERENCE,Multi-Objective and Multi-Factor Active Power Optimization Model of Clean Energy in Industrial Park,"2024 Boao New Power System International Forum - Power System and New Energy Technology Innovation Forum, NPSIF 2024",10.1109/NPSIF64134.2024.10883205,A,accept,learning to optimize,,optimization; optimisation; multi-objective; multi objective,multi-energy; multi energy,,,closed,,,,Power Systems and Renewable Energy,0,low
Prina2024,2024,ARTICLE,Machine learning as a surrogate model for EnergyPLAN: Speeding up energy system optimization at the country level,Energy,10.1016/j.energy.2024.132735,A,accept,surrogate,neural network; machine learning,optimization; energy planning; multi-objective,energy system; energy planning,accelerate; surrogate,,hybrid,,32,66,Integrated Energy Systems Optimization,0,medium
Barbosa2025,2025,ARTICLE,Stochastic multi-objective optimization of hybrid distributed power generation with battery storage systems,"Energy Sources, Part B: Economics, Planning and Policy",10.1080/15567249.2025.2504487,A,accept,response surface; response surface methodology,,optimization; energy planning; multi-objective,energy system; power system; energy planning,,,closed,,4,150,Electric Vehicles and Infrastructure,0,low
Deng20242564,2024,ARTICLE,Two-Stage Multi-Objective Optimization and Decision-Making Method for Integrated Energy System Under Wind Generation Disturbances,CSEE Journal of Power and Energy Systems,10.17775/CSEEJPES.2023.07130,A,accept,surrogate,neural network,optimization; scheduling; multi-objective; multi objective,energy system; integrated energy,surrogate,,diamond,,2,,Integrated Energy Systems Optimization,0,low
Evangeline20248017,2024,ARTICLE,Minimizing voltage fluctuation in stand-alone microgrid system using a Kriging-based multi-objective stochastic optimization algorithm,Electrical Engineering,10.1007/s00202-024-02497-3,A,accept,kriging,,optimization; multi-objective; multi objective,microgrid; renewable energy,,,closed,,2,40,Smart Grid Energy Management,0,low
Dong2023,2023,ARTICLE,Robust optimal scheduling for integrated energy systems based on multi-objective confidence gap decision theory,Expert Systems with Applications,10.1016/j.eswa.2023.120304,A,accept,surrogate,neural network,optimization; scheduling; multi-objective; multi objective; robust optimization,energy system; integrated energy; renewable energy,approximate; computation time; surrogate,,closed,,27,39,Integrated Energy Systems Optimization,0,medium
