cite_key,family,pattern,section,target,confidence,score,runner_up,runner_up_score,evidence_source,evidence_snippet,all_scores,has_pdf_text,has_abstract
Zhou20181,GP / kriging,P5,mes,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Zheng20231907,GP / kriging,P1,mes,,unassigned,15,Objective values,12,,,Exogenous inputs=0; Objective values=12; Physical states or constraints=15; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Ren2024,Neural network,P1,mes,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Dong2022,GP / kriging,P5,mes,,unassigned,18,Probability distributions / chance-constraint terms,18,,,Exogenous inputs=0; Objective values=18; Physical states or constraints=0; Probability distributions / chance-constraint terms=18; Decisions / solution-related objects=0,no,yes
Jalving2023,Neural network,P1,mes,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Wang2020202933,PCE / RSM,P1,mes,Objective values,high,15,Exogenous inputs,0,abstract/keywords,"e function values instead of the optimization model, thereby avoiding repeatedly calling the original complex objective function and reducing the computation time. the test results verify the effectiveness of the proposed model and algorithm. © 2013 ieee. elasticity; energy uti",Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Franzoso2025,Neural network,P1,mes,Decisions / solution-related objects,high,21,Exogenous inputs,0,abstract/keywords,"lems and uncover non-obvious control solutions. this paper investigates the application of deep reinforcement learning to optimize a multi-energy system in the presence of high renewable energy source penetration. key energy conversion technologies, such as combined heat and powe",Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=21,no,yes
Dong2023,PCE / RSM,P1,mes,Probability distributions / chance-constraint terms,high,75,Physical states or constraints,15,abstract/keywords,"ses a chance-constrained optimal dispatch method for integrated energy systems and employs data-driven sparse polynomial chaos expansion method to enhance solving efficiency. first, the proposed chance-constrained optimization aims to ensure the optimal economic operation with an affor",Exogenous inputs=0; Objective values=0; Physical states or constraints=15; Probability distributions / chance-constraint terms=75; Decisions / solution-related objects=0,no,yes
Shi2024__2,GP / kriging,P4,mes,Exogenous inputs,high,38,Objective values,0,title,load forecasting for regional integrated energy system based on complementary ensemble empirical mode decomposition and multi-model fusion,Exogenous inputs=38; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Wang2017,GP / kriging,P2,moo,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Han2018622,RBF / kernel,P2,moo,Objective values,high,15,Exogenous inputs,0,abstract/keywords,"ic var planning problem is formulated as a multi-objective optimization (moo) model with objectives including investment cost, short-term voltage stability level, and transient stability level. to reduce the complexity of the proposed moo model, k-means clustering-based seve",Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
