"cite_key","title","family","doe","validation","pattern_score","pattern_runner_up","pattern_evidence_snippet"
"Su2022315","Deep Belief Network Enabled Surrogate Modeling for Fast Preventive Control of Power System Transient Stability","Neural network","Latin hypercube sampling","Problem UQ","0","P2 acceleration",""
"Li2023","A novel method of creating machine learning-based time series meta-models for building energy analysis","Tree ensembles","Latin hypercube sampling","Point metrics","0","P2 acceleration",""
"Wang2020202933","Optimal Scheduling for Integrated Energy System Considering Scheduling Elasticity of Electric and Thermal Loads","PCE / RSM","Latin hypercube sampling","Decision-aware","0","P2 acceleration",""
"Sami20181416","Thermal properties optimization of microencapsulated a renewable and non-toxic phase change material with a polystyrene shell for thermal energy storage systems","PCE / RSM","Factorial / response-surface design","Point metrics","0","P2 acceleration",""
"Ahmad202451","Parametric analysis of wastewater electrolysis for green hydrogen production: A combined RSM, genetic algorithm, and particle swarm optimization approach","PCE / RSM","Factorial / response-surface design","Point metrics","0","P2 acceleration",""
"Hu2020","Uncertainty quantification in stochastic economic dispatch using Gaussian process emulation","GP / kriging","Latin hypercube sampling","Problem UQ","0","P2 acceleration",""
"Safta20172535","Efficient Uncertainty Quantification in Stochastic Economic Dispatch","PCE / RSM","Historical operational data","Problem UQ","10","P5 uncertainty",""
"Jahangiri20244849","A machine learning approach to analysis of Canadian provincial power system decarbonization","Neural network","Historical operational data","Point metrics","0","P2 acceleration",""
"Fu20202904","Statistical Machine Learning Model for Stochastic Optimal Planning of Distribution Networks Considering a Dynamic Correlation and Dimension Reduction","PCE / RSM","Latin hypercube sampling","Problem UQ","0","P2 acceleration",""
"Koschwitz2018134","Data-driven heating and cooling load predictions for non-residential buildings based on support vector machine regression and NARX Recurrent Neural Network: A comparative study on district scale","RBF / kernel","Historical operational data","Point metrics","0","P2 acceleration",""
"Faraji2020157284","Optimal day-ahead self-scheduling and operation of prosumer microgrids using hybrid machine learning-based weather and load forecasting","Neural network","Historical operational data","Point metrics","0","P2 acceleration",""
"Nematollahi2021","Sizing and sitting of DERs in active distribution networks incorporating load prevailing uncertainties using probabilistic approaches","GP / kriging","Historical operational data","Problem UQ","0","P2 acceleration",""
"Wang20192635","Neural networks for power management optimal strategy in hybrid microgrid","RBF / kernel","Historical operational data","Point metrics","0","P2 acceleration",""
"Dong2022","Optimization strategy based on robust model predictive control for RES-CCHP system under multiple uncertainties","GP / kriging","Historical operational data","Interval calibration","0","P2 acceleration",""
"Tian2020","Short-term wind speed prediction based on LMD and improved FA optimized combined kernel function LSSVM","RBF / kernel","Historical operational data","Point metrics","0","P2 acceleration",""
"Yang2020415","A novel competitive swarm optimized RBF neural network model for short-term solar power generation forecasting","RBF / kernel","Historical operational data","Point metrics","0","P2 acceleration",""
"Shi2024","Short-term Load Forecasting Considering EV Charging Loads with Prediction Interval Evaluation","GP / kriging","Historical operational data","Interval calibration","0","P2 acceleration",""
"Lin2023","Data-driven method of solving computationally expensive combined economic/emission dispatch problems in large-scale power systems: an improved kriging-assisted optimization approach","GP / kriging","Adaptive sampling","Point metrics","0","P2 acceleration",""
"Hu2021671","A Bayesian Approach for Estimating Uncertainty in Stochastic Economic Dispatch Considering Wind Power Penetration","GP / kriging","Latin hypercube sampling","Problem UQ","0","P2 acceleration",""
"Zhang2019270","Wind speed prediction method using Shared Weight Long Short-Term Memory Network and Gaussian Process Regression","GP / kriging","Transfer learning","Interval calibration","0","P2 acceleration",""
"Babaeiyazdi2021","State of charge prediction of EV Li-ion batteries using EIS: A machine learning approach","GP / kriging","Historical operational data","Point metrics","0","P2 acceleration",""
