cite_key,primary_bucket,all_buckets,mandatory,year,title,venue,doi,cited_by_count,tier,focus,primary_topic,sources
Rafi202132436,B04_rbf_kernel,B04_rbf_kernel;B05_tree_ensembles;B06_neural_surrogates;B17_ed_uc,1,2021,A short-term load forecasting method using integrated CNN and LSTM network,IEEE Access,10.1109/access.2021.3060654,482,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Zhou20181,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B21_mes_sector_coupling;B24_stochastic_robust,1,2018,A robust optimization approach for integrated community energy system in energy and ancillary service markets,Energy,10.1016/j.energy.2018.01.078,184,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Fu20202904,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B24_stochastic_robust,1,2020,Statistical Machine Learning Model for Stochastic Optimal Planning of Distribution Networks Considering a Dynamic Correlation and Dimension Reduction,IEEE Transactions on Smart Grid,10.1109/tsg.2020.2974021,137,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Fu2022,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty,1,2022,Statistical machine learning model for capacitor planning considering uncertainties in photovoltaic power,Protection and Control of Modern Power Systems,10.1186/s41601-022-00228-z,133,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Park2019,B06_neural_surrogates,B06_neural_surrogates,1,2019,Physics-induced graph neural network: An application to wind-farm power estimation,Energy,10.1016/j.energy.2019.115883,123,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Eseye201991463,B02_gp_kriging,B02_gp_kriging;B06_neural_surrogates;B22_microgrid_hub,1,2019,Machine learning based integrated feature selection approach for improved electricity demand forecasting in decentralized energy systems,IEEE Access,10.1109/access.2019.2924685,107,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Faraji2020157284,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates;B22_microgrid_hub,1,2020,Optimal day-ahead self-scheduling and operation of prosumer microgrids using hybrid machine learning-based weather and load forecasting,IEEE Access,10.1109/access.2020.3019562,103,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Wang2017,B02_gp_kriging,B02_gp_kriging;B22_microgrid_hub;B23_moo_design,1,2017,Design of a fractional order frequency PID controller for an islanded microgrid: A multi-objective extremal optimization method,Energies,10.3390/en10101502,90,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Wu2022231,B06_neural_surrogates,B06_neural_surrogates;B09_decision_focused_l2o;B17_ed_uc,1,2022,Deep Learning to Optimize: Security-Constrained Unit Commitment with Uncertain Wind Power Generation and BESSs,IEEE Transactions on Sustainable Energy,10.1109/tste.2021.3107848,86,A,,Electric Power System Optimization,surrogate_esm_tier_a
Ahmad202451,B03_pce_response_surface,B03_pce_response_surface;B21_mes_sector_coupling,1,2024,"Parametric analysis of wastewater electrolysis for green hydrogen production: A combined RSM, genetic algorithm, and particle swarm optimization approach",International Journal of Hydrogen Energy,10.1016/j.ijhydene.2024.01.302,77,A,,Hybrid Renewable Energy Systems,surrogate_esm_tier_a
Muhlpfordt20194806,B03_pce_response_surface,B03_pce_response_surface;B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2019,Chance-Constrained AC Optimal Power Flow: A Polynomial Chaos Approach,IEEE Transactions on Power Systems,10.1109/tpwrs.2019.2918363,76,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Han2018622,B04_rbf_kernel,B04_rbf_kernel,1,2018,Surrogate modeling-based multi-objective dynamic VAR planning considering short-term voltage stability and transient stability,IEEE Transactions on Power Systems,10.1109/tpwrs.2017.2696021,66,A,,Electric Power System Optimization,surrogate_esm_tier_a
Su2022315,B06_neural_surrogates,B06_neural_surrogates;B18_opf,1,2022,Deep Belief Network Enabled Surrogate Modeling for Fast Preventive Control of Power System Transient Stability,IEEE Transactions on Industrial Informatics,10.1109/tii.2021.3072594,65,A,,Power System Optimization and Stability,surrogate_esm_tier_a
Nematollahi2021,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B22_microgrid_hub,1,2021,Sizing and sitting of DERs in active distribution networks incorporating load prevailing uncertainties using probabilistic approaches,Applied Sciences (Switzerland),10.3390/app11094156,58,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Wang20192635,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates;B22_microgrid_hub,1,2019,Neural networks for power management optimal strategy in hybrid microgrid,Neural Computing and Applications,10.1007/s00521-017-3219-x,58,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Hussien20211883,B03_pce_response_surface,B03_pce_response_surface;B22_microgrid_hub;B23_moo_design,1,2021,Sunflower optimization algorithm-based optimal PI control for enhancing the performance of an autonomous operation of a microgrid,Ain Shams Engineering Journal,10.1016/j.asej.2020.10.020,57,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Rigo-Mariani20171762,B02_gp_kriging,B02_gp_kriging;B22_microgrid_hub,1,2017,Integrated optimal design of a smart microgrid with storage,IEEE Transactions on Smart Grid,10.1109/tsg.2015.2507131,54,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Wang20211767,B04_rbf_kernel,B04_rbf_kernel;B15_uncertainty;B17_ed_uc;B22_microgrid_hub;B23_moo_design;B24_stochastic_robust,1,2021,Stochastic Optimization for Residential Demand Response with Unit Commitment and Time of Use,IEEE Transactions on Industry Applications,10.1109/tia.2020.3048643,53,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Safta20172535,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B17_ed_uc,1,2017,Efficient Uncertainty Quantification in Stochastic Economic Dispatch,IEEE Transactions on Power Systems,10.1109/tpwrs.2016.2615334,52,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Zheng20231907,B21_mes_sector_coupling,B21_mes_sector_coupling,1,2023,Distributed Dispatch of Integrated Electricity-Heat Systems With Variable Mass Flow,IEEE Transactions on Smart Grid,10.1109/tsg.2022.3210014,48,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Deng2020831,B02_gp_kriging,B02_gp_kriging;B18_opf,1,2020,Kriging Assisted Surrogate Evolutionary Computation to Solve Optimal Power Flow Problems,IEEE Transactions on Power Systems,10.1109/tpwrs.2019.2936999,48,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Cao2023__2,B22_microgrid_hub,B22_microgrid_hub,1,2023,Co-optimization of multiple virtual power plants considering electricity-heat-carbon trading: A Stackelberg game strategy,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2023.109294,47,A,,Process Optimization and Integration,surrogate_esm_tier_a
Urgun20202791,B04_rbf_kernel,B04_rbf_kernel;B18_opf,1,2020,Importance Sampling Using Multilabel Radial Basis Classification for Composite Power System Reliability Evaluation,IEEE Systems Journal,10.1109/jsyst.2019.2944131,46,A,,Power System Reliability and Maintenance,surrogate_esm_tier_a
Xu20184696,B03_pce_response_surface,B03_pce_response_surface;B22_microgrid_hub,1,2018,Maximum Loadability of Islanded Microgrids With Renewable Energy Generation,IEEE Transactions on Smart Grid,10.1109/tsg.2018.2848958,46,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Gan2021695,B02_gp_kriging,B02_gp_kriging;B22_microgrid_hub,1,2021,Data-Driven Energy Management System with Gaussian Process Forecasting and MPC for Interconnected Microgrids,IEEE Transactions on Sustainable Energy,10.1109/tste.2020.3017224,45,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Chen20244723,B06_neural_surrogates,B06_neural_surrogates;B07_constraint_aware;B09_decision_focused_l2o;B17_ed_uc,1,2024,End-to-End Feasible Optimization Proxies for Large-Scale Economic Dispatch,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3317352,44,A,,Electric Power System Optimization,surrogate_esm_tier_a
Hussien20226442,B03_pce_response_surface,B03_pce_response_surface;B22_microgrid_hub;B23_moo_design,1,2022,Coot Bird Algorithms-Based Tuning PI Controller for Optimal Microgrid Autonomous Operation,IEEE Access,10.1109/access.2022.3142742,44,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Srithapon202134395,B06_neural_surrogates,B06_neural_surrogates;B12_bayes_accel;B15_uncertainty;B18_opf,1,2021,Surrogate-Assisted Multi-Objective Probabilistic Optimal Power Flow for Distribution Network with Photovoltaic Generation and Electric Vehicles,IEEE Access,10.1109/access.2021.3061471,44,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Guo20222057,B06_neural_surrogates,B06_neural_surrogates;B09_decision_focused_l2o;B22_microgrid_hub,1,2022,Training Deep Neural Network for Optimal Power Allocation in Islanded Microgrid Systems: A Distributed Learning-Based Approach,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2021.3054778,43,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
