cite_key,year,type,title,journal,doi,focus,is_moo,is_mes,is_mcdm,surrogate_signal,matched_moo_terms,matched_mes_terms,matched_mcdm_terms,matched_algorithm_terms,matched_surrogate_terms,matched_ml_terms,matched_proxy_hints
ali_sadat_free_2023,2023,ARTICLE,A Free and open-source microgrid optimization tool: {SAMA} the solar alone Multi-Objective Advisor,Energy Convers. Manage.,10.1016/j.enconman.2023.117686,moo_mes_surrogate,1,1,0,1,multi-objective; multi objective; multiobjective,microgrid; microgrids; off-grid,,ga,,machine learning; learning-based,accelerate
ata_comprehensive_2025,2025,ARTICLE,"Comprehensive evaluation of a gas turbine-based multi-generation system for power, heating, cooling, freshwater, hydrogen and ammonia: 4E assessment and multi-objective optimization with {RSM} desirability approach",Renew. Energy,10.1016/j.renene.2025.122900,moo_mes_surrogate,1,1,0,1,multi-objective,multi-energy; multi energy; hydrogen,,ga,response surface; response surface methodology,regression model,
cao_multi-objective_2017,2017,ARTICLE,Multi-objective optimization of preplanned microgrid islanding based on stochastic short-term simulation,Int. Trans. Elecr. Energy Sys.,10.1002/etep.2238,moo_mes_surrogate,1,1,0,1,multi-objective; multiobjective,microgrid; micro grid,,ga,response surface; response surface methodology,,
carpinelli_-priori_2025,2025,ARTICLE,A-priori multi-objective optimization for the short-term dispatch of distributed energy resources,Int J Electr Power Energy Syst,10.1016/j.ijepes.2024.110410,moo_mes_surrogate,1,1,0,1,multi-objective; multiobjective; pareto,microgrid; microgrids; distributed energy,,ga,surrogate,,surrogate
chen_surrogate_2020,2020,ARTICLE,Surrogate model based operation mode of distributed energy spot market,Dianli Zidonghua Shebei Electr. Power Autom. Equip.,10.16081/j.epae.202008025,moo_mes_surrogate,1,1,0,1,multi-objective; multiobjective,microgrid; distributed energy,,ga,surrogate,,surrogate
cherif_dynamics_2023,2023,INPROCEEDINGS,Dynamics of Multi-Objective Energy Optimization in Multi-Energy Micro-Grids Based on Renewable Energy,Institute of Electrical and Electronics Engineers Inc,10.1109/CoDIT58514.2023.10284137,moo_mes_surrogate,1,1,0,1,multi-objective; multi objective; multiobjective; multi-criteria,multi-energy; multi energy; microgrid; micro-grid,,genetic algorithm; ga,metamodel; meta-model; meta model; metamodeling,,
cui_multi-objective_2023,2023,ARTICLE,Multi-objective optimal scheduling of charging stations based on deep reinforcement learning,Front. Energy Res.,10.3389/fenrg.2022.1042882,moo_mes_surrogate,1,1,0,1,multi-objective; multi objective; multiobjective,microgrid; microgrids; electric vehicle; electric vehicles,,ga,,deep learning,replace
gao_online_2025,2025,ARTICLE,Online optimization of integrated energy systems based on deep learning predictive control,Electr Power Syst Res,10.1016/j.epsr.2025.111510,moo_mes_surrogate,1,1,0,1,multi-objective,integrated energy,,particle swarm; pso,,deep learning; learning-based,accelerate
hadavi_hybrid_2023,2023,ARTICLE,Hybrid multi-objective optimization and thermo-economic analysis of a multi-effect desalination unit integrated with a fuel cell-based trigeneration system,J. Clean. Prod.,10.1016/j.jclepro.2023.137156,moo_mes_surrogate,1,1,1,1,multi-objective; multiobjective; multi-criteria; multi criteria; multicriteria,cchp; chp,multi-criteria decision; multi criteria decision; multicriteria decision; topsis,genetic algorithm; ga,response surface; response surface methodology,,
hosseini_novel_2025,2025,ARTICLE,"A novel reinforcement learning-based multi-objective energy management system for multi-energy microgrids integrating electrical, hydrogen, and thermal elements",Electr Power Syst Res,10.1016/j.epsr.2025.111474,moo_mes_surrogate,1,1,0,1,multi-objective; multi objective,multi-energy; multi energy; microgrid; microgrids; hydrogen,,ga; particle swarm; pso,,learning-based,accelerate
jia_interval_2024,2024,ARTICLE,Interval Constrained Multi-Objective Optimization Scheduling Method for Island-Integrated Energy Systems Based on Meta-Learning and Enhanced Proximal Policy Optimization,Electronics (Switzerland),10.3390/electronics13173579,moo_mes_surrogate,1,1,0,1,multi-objective; pareto; moea; hypervolume,integrated energy,,ga; moea,meta-model,,
layadi_economic_2018,2018,ARTICLE,Economic and ecological optimization of multi-source systems under the variability in the cost of fuel,Energy Convers. Manage.,10.1016/j.enconman.2018.09.056,moo_mes_surrogate,1,1,0,1,multi-objective; multiobjective; pareto,stand-alone,,ga,meta-model; meta model,,
luo_bi-level_2021,2021,ARTICLE,Bi-level multi-objective optimization of design and subsidies for standalone hybrid renewable energy systems: A novel approach based on artificial neural network,J. Build. Eng.,10.1016/j.jobe.2021.102744,moo_mes_surrogate,1,1,0,1,multi-objective,hybrid renewable energy system; hybrid renewable energy systems; standalone,,ga,surrogate,neural network,surrogate
