cite_key,dimension,label,evidence_source,page,evidence_snippet,rationale
Perera2019191,data_source,Synthetic data,PDF,4,"Each data record includes values of 28 variables, i.e. 7 randomly generated input values and 21 STEM-lite generated values.","Training records are explicitly generated from randomized inputs and STEM-lite model outputs."
Liu20223726,data_source,Synthetic data,PDF,7,"The sample is generated by the Latin hypercube sampling approach. Then, the generated samples are trained by SVM to formulate the data-driven surrogate small-signal stability constraint.","The surrogate training set is explicitly generated by Latin-hypercube sampling."
Hu2020,data_source,Synthetic data,PDF,3,"A popular choice to generate these samples is through the Latin hypercube sampling. Unlike the Monte Carlo sampling, which generates a set of independent and identically distributed samples from the target probability distributions...","The uncertainty-emulation study explicitly generates surrogate samples from prescribed probability distributions."
Fu2022,data_source,Synthetic data,PDF,3,"The probabilistic scenario model simulates uncertainty, and the simulated data sets can be obtained on both the generation and demand sides.","Training/evaluation data are explicitly simulation-generated scenarios."
Zhang2025__6,data_source,Synthetic data,PDF,4,"At the initial step, 730 daily margin time series were randomly generated and labeled using the exact model.","Active-learning labels are explicitly generated by the exact model."
Taghizadeh2024,data_source,Synthetic data,PDF,6,"It takes only 38.2 s to generate training data for the MF-GNN with combined HF and LF data, compared to 127.4 s for the SF-GNN with 28,000 HF data points.","The multi-fidelity study explicitly describes generated high- and low-fidelity training data."
De Castro20247710,data_source,Synthetic data,PDF,5,"We specifically demonstrate the proposed method is efficient in the number of simulated data required, accurate in its energy estimate, and performant with respect to the minimum snap baseline method.","The reinforcement-learning surrogate relies on simulated data."
Aghaei Pour2022303,data_source,Synthetic data,PDF,12,"These samples are evaluated by the original objective functions, and then they are stored in the archive A. Then, the samples in A are used to train independent Kriging models...","The archived surrogate-training samples are created by evaluating the original objective functions."
Zhang2025__7,data_source,Synthetic data,PDF,4,"In this study, the number of sample points in the full factorial design is set to 9. In contrast, Latin hypercube design achieves high response surface accuracy with fewer sample points...","The response-surface study uses explicitly designed sample points as generated training data."
Chen2025244,data_source,Historical data,PDF,2,"How to construct an ML model with limited historical data to assist further decision-making efficiently and effectively; how to iteratively infill the most informative samples to enhance the accuracy of surrogates...","The geothermal knowledge-transfer study explicitly states historical data as the starting data source."
Koirala20242284,doe_strategy,Quasi-Monte Carlo / sparse-grid collocation,PDF,8,"The computation time for MC based stochastic HC was calculated considering those quasi Monte Carlo schemes and hence no other scenario reductions were considered.","The hosting-capacity study explicitly uses quasi-Monte-Carlo schemes for scenario construction."
