cite_key,family,pattern,section,doe_strategy,strategy_confidence,strategy_score,strategy_runner_up,strategy_runner_up_score,strategy_evidence_source,strategy_evidence_snippet,strategy_all_scores,data_source,source_confidence,source_score,source_runner_up,source_runner_up_score,source_evidence_source,source_evidence_snippet,source_all_scores,has_pdf_text,has_abstract
Zhou20181,GP / kriging,P5,mes,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Zheng20231907,GP / kriging,P1,mes,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Ren2024,Neural network,P1,mes,Latin hypercube sampling,high,24,Quasi-Monte Carlo / sparse-grid collocation,0,evidence-card PDF prose,training inputs are placed by latin hypercube sampling over the planning box.,Latin hypercube sampling=24; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Dong2022,GP / kriging,P5,mes,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Jalving2023,Neural network,P1,mes,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Wang2020202933,PCE / RSM,P1,mes,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Franzoso2025,Neural network,P1,mes,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Dong2023,PCE / RSM,P1,mes,Quasi-Monte Carlo / sparse-grid collocation,high,24,Latin hypercube sampling,0,evidence-card PDF prose,uncertain inputs are represented by sparse-grid or pce collocation nodes (quasi-monte carlo / quadrature family).,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=24; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,Historical data,high,24,Synthetic data,0,abstract/keywords,"-driven sparse polynomial chaos expansion method enables the fast computing of the output response using only historical data, i.e., without knowledge pertaining to the distribution functions. moreover, an improved iterative verification structure is proposed, which further",Synthetic data=0; Historical data=24; Hybrid data=0,no,yes
Shi2024__2,GP / kriging,P4,mes,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Wang2017,GP / kriging,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
